"index","game_id","year","round","date","start_time","attendance","home_team_score","away_team_score","rain_fall","home_team_id","away_team_id","name","stadium_id"
194,"2021R2306",2021,"R23","2021-08-21 00:00:00","19:40",0,75,89,1.4,3,9,"Docklands",107
195,"2021R2307",2021,"R23","2021-08-22 00:00:00","12:15",3082,107,49,0,15,6,"Bellerive Oval",116
196,"2021R2308",2021,"R23","2021-08-22 00:00:00","15:20",0,102,64,0,5,4,"M.C.G.",63
197,"2021R2309",2021,"R23","2021-08-22 00:00:00","16:10",13103,98,54,0,1,12,"Adelaide Oval",47
198,"2021QF01",2021,"QF","2021-08-27 00:00:00","19:20",19712,86,43,0,13,8,"Adelaide Oval",47
199,"2021EF01",2021,"EF","2021-08-28 00:00:00","15:20",8635,73,74,0,16,9,"York Park",163
200,"2021QF02",2021,"QF","2021-08-28 00:00:00","19:00",13784,93,60,0,11,2,"Adelaide Oval",47
201,"2021EF02",2021,"EF","2021-08-29 00:00:00","15:20",9760,85,36,0,18,5,"York Park",163
202,"2021SF01",2021,"SF","2021-09-03 00:00:00","17:50",44091,103,68,4.6,8,9,"Perth Stadium",147
203,"2021SF02",2021,"SF","2021-09-04 00:00:00","19:20",30647,78,79,2.2,2,18,"Gabba",56
204,"2021PF01",2021,"PF","2021-09-10 00:00:00","17:50",58599,125,42,3.2,11,8,"Perth Stadium",147
205,"2021PF02",2021,"PF","2021-09-11 00:00:00","19:10",26400,45,116,0,13,18,"Adelaide Oval",47
206,"2021GF01",2021,"GF","2021-09-25 00:00:00","17:15",61118,140,66,0,11,18,"Perth Stadium",147
207,"2020R101",2020,"R1","2020-03-19 00:00:00","19:40",0,105,81,0,14,3,"M.C.G.",63
208,"2020R102",2020,"R1","2020-03-20 00:00:00","19:50",0,34,86,0,18,4,"Docklands",107
209,"2020R103",2020,"R1","2020-03-21 00:00:00","14:10",0,63,57,0.4,5,6,"Docklands",107
210,"2020R104",2020,"R1","2020-03-21 00:00:00","16:35",0,71,74,0,1,16,"Adelaide Oval",47
211,"2020R105",2020,"R1","2020-03-21 00:00:00","18:40",0,29,76,0,7,13,"Carrara",80
212,"2020R106",2020,"R1","2020-03-21 00:00:00","19:40",0,105,73,0,9,8,"Sydney Showground",28
213,"2020R107",2020,"R1","2020-03-22 00:00:00","13:05",0,56,54,0.2,12,15,"Docklands",107
214,"2020R108",2020,"R1","2020-03-22 00:00:00","15:35",0,90,62,0.2,10,2,"M.C.G.",63
215,"2020R109",2020,"R1","2020-03-22 00:00:00","15:40",0,78,51,0,17,11,"Perth Stadium",147
216,"2020R201",2020,"R2","2020-06-11 00:00:00","19:40",0,36,36,0,4,14,"M.C.G.",63
217,"2020R202",2020,"R2","2020-06-12 00:00:00","19:50",0,108,47,0,8,10,"Kardinia Park",154
218,"2020R203",2020,"R2","2020-06-13 00:00:00","13:45",0,81,69,0,2,6,"Gabba",56
219,"2020R204",2020,"R2","2020-06-13 00:00:00","16:35",0,53,54,0,3,11,"Docklands",107
220,"2020R205",2020,"R2","2020-06-13 00:00:00","19:10",2240,110,35,0.6,13,1,"Adelaide Oval",47
221,"2020R206",2020,"R2","2020-06-13 00:00:00","19:40",0,90,46,0,7,17,"Carrara",80
222,"2020R207",2020,"R2","2020-06-14 00:00:00","13:05",350,60,80,7.4,9,12,"Sydney Showground",28
223,"2020R208",2020,"R2","2020-06-14 00:00:00","15:35",337,73,79,11,16,5,"S.C.G.",42
224,"2020R209",2020,"R2","2020-06-14 00:00:00","18:05",0,88,49,5.8,15,18,"Docklands",107
225,"2020R301",2020,"R3","2020-06-18 00:00:00","19:40",0,39,71,0,14,10,"M.C.G.",63
226,"2020R302",2020,"R3","2020-06-19 00:00:00","19:50",0,57,33,0,18,9,"Docklands",107
227,"2020R303",2020,"R3","2020-06-20 00:00:00","13:45",0,60,71,2,12,16,"Docklands",107
228,"2020R304",2020,"R3","2020-06-20 00:00:00","16:35",0,81,37,2,4,15,"M.C.G.",63
229,"2020R305",2020,"R3","2020-06-20 00:00:00","19:40",0,77,79,1.2,8,3,"Kardinia Park",154
230,"2020R306",2020,"R3","2020-06-20 00:00:00","19:40",1965,74,44,1.8,2,17,"Gabba",56
231,"2020R307",2020,"R3","2020-06-21 00:00:00","15:05",1997,82,29,0,7,1,"Carrara",80
232,"2020R308",2020,"R3","2020-06-21 00:00:00","20:10",180,41,70,0,6,13,"Carrara",80
233,"2020R401",2020,"R4","2020-06-25 00:00:00","19:40",605,39,67,1,16,18,"S.C.G.",42
234,"2020R402",2020,"R4","2020-06-26 00:00:00","19:50",487,66,64,0,9,4,"Sydney Showground",28
235,"2020R403",2020,"R4","2020-06-27 00:00:00","13:45",450,89,41,0,13,17,"Carrara",80
236,"2020R404",2020,"R4","2020-06-27 00:00:00","16:35",0,93,67,0,15,14,"Docklands",107
237,"2020R405",2020,"R4","2020-06-27 00:00:00","19:40",0,51,52,0,5,3,"M.C.G.",63
238,"2020R406",2020,"R4","2020-06-27 00:00:00","19:40",5106,64,51,0,7,6,"Carrara",80
239,"2020R407",2020,"R4","2020-06-28 00:00:00","13:05",7354,83,46,0.4,2,1,"Gabba",56
240,"2020R408",2020,"R4","2020-06-28 00:00:00","15:35",0,44,47,0,11,8,"M.C.G.",63
241,"2020R409",2020,"R4","2020-06-28 00:00:00","18:10",0,58,54,0,10,12,"Docklands",107
242,"2020R501",2020,"R5","2020-07-02 00:00:00","19:40",0,55,73,1.2,3,15,"Docklands",107
243,"2020R502",2020,"R5","2020-07-03 00:00:00","19:50",0,48,63,0.2,4,5,"M.C.G.",63
