gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2021R107,2021,R1,21-Mar-21,Docklands,1:10 PM,13050,North Melbourne,65,Port Adelaide,117,3.2
2021R106,2021,R1,20-Mar-21,Gabba,6:45 PM,22762,Brisbane Lions,94,Sydney,125,20.8
2021R105,2021,R1,20-Mar-21,Docklands,7:25 PM,25128,Essendon,91,Hawthorn,92,0
2021R104,2021,R1,20-Mar-21,Adelaide Oval,4:05 PM,26985,Adelaide,103,Geelong,91,0
2021R103,2021,R1,20-Mar-21,M.C.G.,1:45 PM,21365,Melbourne,80,Fremantle,58,0
2021R102,2021,R1,19-Mar-21,M.C.G.,7:50 PM,46051,Collingwood,53,Western Bulldogs,69,0
2021R101,2021,R1,18-Mar-21,M.C.G.,7:25 PM,49218,Richmond,105,Carlton,80,0
2021R1009,2021,R10,23-May-21,Docklands,4:40 PM,33121,Essendon,141,North Melbourne,69,0
2021R1008,2021,R10,23-May-21,M.C.G.,3:20 PM,23415,Collingwood,58,Port Adelaide,59,0
2021R1007,2021,R10,23-May-21,Sydney Showground,1:10 PM,9046,Greater Western Sydney,93,West Coast,77,0
2021R1006,2021,R10,22-May-21,Perth Stadium,5:40 PM,29134,Fremantle,86,Sydney,84,0
2021R1005,2021,R10,22-May-21,Docklands,7:25 PM,28720,Western Bulldogs,144,St Kilda,33,0
2021R1004,2021,R10,22-May-21,Adelaide Oval,4:05 PM,31373,Adelaide,96,Melbourne,95,0
2021R1003,2021,R10,22-May-21,Kardinia Park,2:10 PM,22055,Geelong,91,Gold Coast,57,0
2021R1002,2021,R10,22-May-21,M.C.G.,1:45 PM,45741,Carlton,86,Hawthorn,63,0
2021R1001,2021,R10,21-May-21,Gabba,7:50 PM,31127,Brisbane Lions,102,Richmond,74,0
2021QF02,2021,QF,28-Aug-21,Adelaide Oval,7:00 PM,13784,Melbourne,93,Brisbane Lions,60,0
2021QF01,2021,QF,27-Aug-21,Adelaide Oval,7:20 PM,19712,Port Adelaide,86,Geelong,43,0
2021PF02,2021,PF,11-Sep-21,Adelaide Oval,7:10 PM,26400,Port Adelaide,45,Western Bulldogs,116,0
2021PF01,2021,PF,10-Sep-21,Perth Stadium,5:50 PM,58599,Melbourne,125,Geelong,42,3.2
2021GF01,2021,GF,25-Sep-21,Perth Stadium,5:15 PM,61118,Melbourne,140,Western Bulldogs,66,0
2021EF02,2021,EF,29-Aug-21,York Park,3:20 PM,9760,Western Bulldogs,85,Essendon,36,0
2021EF01,2021,EF,28-Aug-21,York Park,3:20 PM,8635,Sydney,73,Greater Western Sydney,74,0
2020SF02,2020,SF,10-Oct-20,Gabba,6:40 PM,21396,Geelong,100,Collingwood,32,0
2020SF01,2020,SF,9-Oct-20,Carrara,6:50 PM,13778,Richmond,80,St Kilda,49,0
2020R909,2020,R9,2-Aug-20,Perth Stadium,4:10 PM,20912,Fremantle,61,Collingwood,49,0
2020R908,2020,R9,2-Aug-20,Carrara,3:35 PM,4363,Gold Coast,35,Greater Western Sydney,61,0
2020R907,2020,R9,1-Aug-20,Perth Stadium,6:10 PM,26211,West Coast,73,Geelong,64,0
2020R906,2020,R9,1-Aug-20,Gabba,5:10 PM,2978,St Kilda,101,Sydney,48,0
2020R905,2020,R9,1-Aug-20,Carrara,2:35 PM,522,North Melbourne,119,Adelaide,50,0
2020R904,2020,R9,31-Jul-20,Carrara,8:10 PM,4860,Essendon,28,Brisbane Lions,91,0
2020R903,2020,R9,31-Jul-20,Perth Stadium,3:40 PM,12304,Carlton,58,Hawthorn,89,0
2020R902,2020,R9,30-Jul-20,Gabba,7:50 PM,323,Melbourne,32,Port Adelaide,83,0
2020R901,2020,R9,29-Jul-20,Carrara,7:10 PM,2824,Western Bulldogs,49,Richmond,90,0
2020R809,2020,R8,27-Jul-20,Perth Stadium,6:10 PM,20251,Fremantle,16,Geelong,48,4.8
2020R808,2020,R8,26-Jul-20,Carrara,6:10 PM,3011,Melbourne,49,Brisbane Lions,53,100.2
2020R807,2020,R8,26-Jul-20,Perth Stadium,1:35 PM,24824,West Coast,111,Collingwood,45,2.2
2020R806,2020,R8,26-Jul-20,Adelaide Oval,12:35 PM,15155,Adelaide,59,Essendon,62,0
2020R805,2020,R8,25-Jul-20,Adelaide Oval,7:10 PM,16727,Port Adelaide,44,St Kilda,73,0
2020R804,2020,R8,25-Jul-20,S.C.G.,3:35 PM,4264,Sydney,60,Hawthorn,53,0
2020R803,2020,R8,25-Jul-20,Gabba,1:05 PM,3655,North Melbourne,57,Carlton,64,3.2
2020R802,2020,R8,24-Jul-20,Sydney Showground,7:50 PM,5500,Greater Western Sydney,62,Richmond,50,0
2020R801,2020,R8,23-Jul-20,Carrara,7:40 PM,4039,Gold Coast,46,Western Bulldogs,51,0
